twi_query,cleaned_query,intent,twi_response,english_translation,source
Nnipa a wowo Ghana ha taa nya cholera yaree yi?,nnipa a wowo ghana ha taa nya cholera yaree yi,general_greeting,"Cholera taa ba mmeae a asuogya gu fĩ guom na nsuo pa nni hɔ, titiriw asuten bere mu. Ghana Health Service repɛ ano aduru daa.","Do people in Ghana often get this cholera disease? Cholera usually occurs in places with poor sanitation and lack of safe water, especially during the rainy season. The Ghana Health Service is always working on solutions.",Ghana Health Service
"Se yede nsuo firi abutuo mu a annua de noa aduane a, eye asiane wo nim?",se yede nsuo firi abutuo mu a annua de noa aduane a eye asiane wo nim,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Hlelo, owura!",hlelo owura,general_greeting,"Hello, akwaaba! Me ne Cholera Twi Chatbot. Mebua wo cholera ho nsɛmmisa wo Twi mu.","Hello, welcome! I am the Cholera Twi Chatbot. I answer cholera questions in Twi.",Ghana NLP
"Nnuru a yede chlorine ye no, esiw cholera kwan paa?",nnuru a yede chlorine ye no esiw cholera kwan paa,prevention_query,"Aane, chlorine tablets te sɛ Aquatabs bɔ nsuo ho ban paa na ɛkum cholera mmoawa biara a ɛwɔ nsuo no mu.","The chemicals made with chlorine, do they prevent cholera? Yes, chlorine tablets like Aquatabs protect water very well and kill any cholera bacteria inside the water.",CDC Ghana
Mdeaase ma mmoaee pa yi,mdeaase ma mmoaee pa yi,general_greeting,Meda wo ase nso! Hwɛ wo ho so yie na horo wo nsa ne samina bere biara. Tena ase asomdwoe mu.,Thank you for this good help. Thank you too! Take good care of yourself and wash your hands with soap every time. Stay safe.,Ghana NLP
"Ayamtuo no akye nnansa, eye hcolera?",ayamtuo no akye nnansa eye hcolera,symptoms_query,Ɛbetumi ayɛ cholera anaa yareɛ foforo. Cholera ayamtuo ba ntɛm ara na emu yɛ den. Kɔ ayaresabea ntɛm kɔhwɛ wo ho.,"The diarrhea has lasted three days, is it cholera? It could be cholera or another disease. Cholera diarrhea comes suddenly and is very severe. Go to the hospital quickly to check yourself.",CDC
Cholrea bacteria betumi atena aduane a yɛanoa mu ampa?,cholrea bacteria betumi atena aduane a yɛanoa mu ampa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Kwan bɛn so na cholera bacteria fa sa yɛn?,kwan bɛn so na cholera bacteria fa sa yɛn,transmission_query,Bacteria no fa nsuo anaa aduane a fĩ guom akɔwura mu a yɛnom anaa yɛdi mu. Ɛno na ɛtare yɛn.,How does the cholera bacteria infect us? The bacteria travels through water or food contaminated with waste that we drink or eat. That is how it infects us.,WHO Ghana
"Se me nsuo no ho tew, cholera mmoawa betumi aetna mu?",se me nsuo no ho tew cholera mmoawa betumi aetna mu,transmission_query,"Aane, cholera mmoawa no yɛ nketenkete a ani ntaa nhu, nti nsuo betumi ayɛ hyɛnn nanso mmoawa gu mu. Noa wo nsuo daa.","If my water looks clean, can cholera bacteria live in it? Yes, cholera bacteria are very tiny and invisible to the naked eye, so water can be clear yet contain bacteria. Boil your water always.",WHO Ghana
Ma me chloera ho nsɛm,ma me chloera ho nsɛm,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
"Me ba no anya cholera na ne ho nsuo asa koraa, meko ayaresabea ben wo Accra paa?",me ba no anya cholera na ne ho nsuo asa koraa meko ayaresabea ben wo accra paa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Ghana eHalth Service de ORS ma adagya mu kwa?,ghana ehalth service de ors ma adagya mu kwa,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Sɛ me ho yɛ hye na meaym tu a, ɛkyerɛ sɛn?",sɛ me ho yɛ hye na meaym tu a ɛkyerɛ sɛn,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Me ba no rekyere na ne nan mu apo, ɛyɛ cholera?",me ba no rekyere na ne nan mu apo ɛyɛ cholera,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Yarefoɔ no afeɛ ne ayamtuo ntɔ mpa, ɛyɛ emregency anaa ɛnyɛ saa?",yarefoɔ no afeɛ ne ayamtuo ntɔ mpa ɛyɛ emregency anaa ɛnyɛ saa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"Mmofra ketewa wɔ cholera a, dɛn nsenkyerɛne na ɛda adi wo nim?",mmofra ketewa wɔ cholera a dɛn nsenkyerɛne na ɛda adi wo nim,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Sɛ me nua nsuo no simma dodo na momawa no wu?,sɛ me nua nsuo no simma dodo na momawa no wu,prevention_query,Noa wo nsuo no ma ɛrehuru yie bɛyɛ simma baako kɔsi simma nnunum na woanya awerɛhyem sɛ cholera mmoawa no awuwu.,If I boil the water for how many minutes will the bacteria die? Boil your water to a rolling boil for about 1 to 5 minutes to be assured that the cholera bacteria are dead.,WHO Ghana
Dɛn na metumi ayɛ na efi anto me fie mu paa?,dɛn na metumi ayɛ na efi anto me fie mu paa,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Mo ye adwuma pa paa wo nim?,mo ye adwuma pa paa wo nim,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
Sɛn na yɛde samina bɔ yɛn ho ban?,sɛn na yɛde samina bɔ yɛn ho ban,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Mfifiseɛ de cholera kɔ adunae so nam ɔkwan bɛn so,mfifiseɛ de cholera kɔ adunae so nam ɔkwan bɛn so,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Adruu bi wɔ hɔ a ɛsiw cholera kwan anaa?,adruu bi wɔ hɔ a ɛsiw cholera kwan anaa,vaccination_query,"Aane, cholera vaccine wɔ hɔ a wɔde ma nnipa a wɔte mmeaɛ a cholera taa ba anaa sɛ ɛreyɛ aba. Kɔ ayaresabea anaa clinic bi mu bisa ho asɛm.","Yes, there are oral cholera vaccines given to people in high-risk areas or during outbreaks. Visit a hospital or clinic for more information.",WHO Ghana
Ɛwɔ sɛ mekɔ me fie ORS de ama yarefoɔ no ansa na mɛfa no kɔ cliinc anaa ɛnyɛ saa?,ɛwɔ sɛ mekɔ me fie ors de ama yarefoɔ no ansa na mɛfa no kɔ cliinc anaa ɛnyɛ saa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Obi bin mu nsuo betumi de chloera aba?,obi bin mu nsuo betumi de chloera aba,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Mɛnam lcinic anaa ayaresabea wɔ cholera mu ampa?,mɛnam lcinic anaa ayaresabea wɔ cholera mu ampa,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Se me nsa kyere me me nan mu a, edeen aduru na ebeboa?",se me nsa kyere me me nan mu a edeen aduru na ebeboa,treatment_query,Nom ORS nsuo ntɛm ara na kɔ clinic. Saa nsa kyere yi (muscle cramps) firi nsuo ne nkyene a ɛsa wɔ ho nti.,"If my hands and legs cramp, what medicine will help? Drink ORS water immediately and go to the clinic. These muscle cramps are due to the loss of water and salts from your body.",CDC
"Ayamtuo a ete se nsuben nsuo ne ho itti, eye cholera?",ayamtuo a ete se nsuben nsuo ne ho itti eye cholera,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Ayatmuo a ɛnhuri mpa ne afeɛ pii, ɛyɛ cholera?",ayatmuo a ɛnhuri mpa ne afeɛ pii ɛyɛ cholera,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Dɛn na yɛde sa cholear anaa ɛnyɛ saa?,dɛn na yɛde sa cholear anaa ɛnyɛ saa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Menam clinic anaa ayaresabea wo chloera mu?,menam clinic anaa ayaresabea wo chloera mu,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Se obi anya cholera a, eho betumi aye yaw?",se obi anya cholera a eho betumi aye yaw,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Choelra nsenkyerɛne ne sɛn ampa?,choelra nsenkyerɛne ne sɛn ampa,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Sɛ obi afɛ na obi no wɔ cholera, ɛkyerɛ sɛn?",sɛ obi afɛ na obi no wɔ cholera ɛkyerɛ sɛn,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Dɛn nti na samina hia paa bere a yɛhohoro yɛn nsa anaa ɛnyɛ saa?,dɛn nti na samina hia paa bere a yɛhohoro yɛn nsa anaa ɛnyɛ saa,prevention_query,"Samina kum cholera mmoawa no na ɛyi efi biara a ɛwɔ wo nsa ho afiri hɔ, nea nsuo kwa nnfa nntumi nnyɛ.","Why is soap so important when we wash our hands? Soap kills the cholera bacteria and removes any filth from your hands, which water alone cannot do.",Ghana Ministry of Health
ORS nsuo mede ama me nana nnom wo fie paa?,ors nsuo mede ama me nana nnom wo fie paa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Kyere me nsem fa cholera ho paa?,kyere me nsem fa cholera ho paa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
Ɛfiri he na cholera yareɛ nya ne din wo nim?,ɛfiri he na cholera yareɛ nya ne din wo nim,general_info_query,Cholera yɛ mmoawa yareɛ a ɛwɔ tebea horow mu wɔ wiase mu na ɛtaa ba mmeaɛ a nsuo pa nni hɔ anaa efi bebree wɔ hɔ.,Cholera is a bacterial disease found in various parts of the world and it commonly occurs where clean water is scarce or sanitation is poor.,CDC
"Sɛ obi nom nsuo a cholera mmoawa wɔ mu a, bere bɛn mu na ɔbɛyɛ yarefoɔ ampa?",sɛ obi nom nsuo a cholera mmoawa wɔ mu a bere bɛn mu na ɔbɛyɛ yarefoɔ ampa,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
"Sɛ me ba ketewa anya cholera a, mteumi ma no nufosuo?",sɛ me ba ketewa anya cholera a mteumi ma no nufosuo,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"Sɛ obi anya cholrea na ɔnte asɛm yie a, ɛwɔ sɛ oma no ORS anaa yɛkɔ clinic paa?",sɛ obi anya cholrea na ɔnte asɛm yie a ɛwɔ sɛ oma no ors anaa yɛkɔ clinic paa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
Bere bɛn na cholera taa yɛ den kɛse ɛnte saa?,bere bɛn na cholera taa yɛ den kɛse ɛnte saa,risk_factors_query,Osutɔ berɛ mu a nsuo a efi frafra nsuo pa mu no na cholera taa yɛ den kɛse paa wɔ Ghana.,"The rainy season, when contaminated water often mixes with clean water sources, is when cholera outbreaks tend to worsen in Ghana.",Ghana Health Service
"Me nana no atew ase firi cholera, den meye ente saa?",me nana no atew ase firi cholera den meye ente saa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
Ewo se mede ORS ama yarefoo no ansa na emfa no ko clinic ampa?,ewo se mede ors ama yarefoo no ansa na emfa no ko clinic ampa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Sɛn na cholera kɔ ɔman mu ntɛm ɛnte saa?,sɛn na cholera kɔ ɔman mu ntɛm ɛnte saa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Mɛde dɛn bɔ me ho ban sɛ obi antumi amfa cholera amma me?,mɛde dɛn bɔ me ho ban sɛ obi antumi amfa cholera amma me,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Cholera aduru no yɛ dɛn na ɛboa obi san nyane ɛnte saa?,cholera aduru no yɛ dɛn na ɛboa obi san nyane ɛnte saa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"Me ba no anya cholera na ne ho nsuo asa koraa, mɛkɔ ayaresabea bɛn wɔ Accra?",me ba no anya cholera na ne ho nsuo asa koraa mɛkɔ ayaresabea bɛn wɔ accra,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Cohlera ko obi ho nam nsuo a efi guom,cohlera ko obi ho nam nsuo a efi guom,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Me pe se mebisa wo biribi anaa ɛnyɛ saa?,me pe se mebisa wo biribi anaa ɛnyɛ saa,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
Mɛde dɛn ama me nana de anom sɛ obi anya cholera anaa?,mɛde dɛn ama me nana de anom sɛ obi anya cholera anaa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"Sɛ me nom nsuo firi dɔteɛ mu a, metumi nya choelra wo nim?",sɛ me nom nsuo firi dɔteɛ mu a metumi nya choelra wo nim,transmission_query,"Aane, nsuo a ɛfiri dɔteɛ mu anaa atwene mu taa nya cholera mmoawa afiri efi mu. Asiane kɛseɔ wom sɛ wobɛnom.","If I drink water from a muddy place can I get cholera? Yes, water from muddy places or runoff drains often contains cholera bacteria from waste. There is big danger if you drink it.",CDC Ghana
Sen na yebeye na yeaye ORS nsuo pa?,sen na yebeye na yeaye ors nsuo pa,treatment_query,"Hohoro wo nsa, fa nsuo pa, nua wo nsuo no ansa na woadi dwuma na fra ORS aduru no mu yie.","Wash hands, use safe water (boiled or bottled), and thoroughly mix the ORS powder into the water.",Ghana Ministry of Health
IV fluids ye den wo cholera mu paa?,iv fluids ye den wo cholera mu paa,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Se obi anya cholera a, ntem ara ewo se yeye den wo nim?",se obi anya cholera a ntem ara ewo se yeye den wo nim,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"aMakye chatbot, metumi abisa wo biribi anaa?",amakye chatbot metumi abisa wo biribi anaa,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
"Sɛ me pɛ sɛ me ba ankɔ itafi wɔ bɔnten so a, dɛn na mɛyɛ ampa?",sɛ me pɛ sɛ me ba ankɔ itafi wɔ bɔnten so a dɛn na mɛyɛ ampa,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Cholera treatment no akye bere ben?,cholera treatment no akye bere ben,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Obi a owo hcolera nso wo gya ho a, ode maa afoforo?",obi a owo hcolera nso wo gya ho a ode maa afoforo,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
"Odwo, ete sen chatbot ente saa?",odwo ete sen chatbot ente saa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
"Se mereko akwantu na cholera reba faako a mereko, ese se mesiane akwantu no anaa?",se mereko akwantu na cholera reba faako a mereko ese se mesiane akwantu no anaa,travel_query,"Sɛ ɛho hia paa sɛ wokɔ a, hwɛ yiye fa nsuo ne aduane a wobɛdi ho, na di mmara a wɔde bɛma wo so; sɛ ɛnho nhia koraa a, twɛn kosi sɛ asɛm no bɛtɔ so.","If travel is essential, take great care with your water and food choices and follow any guidance given; if not essential, consider waiting until the situation improves.",Ghana Ministry of Health
Ehefa na cholera bacteria tena ho?,ehefa na cholera bacteria tena ho,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Se ORS paket no akye a, eye safe anaa ɛnyɛ saa?",se ors paket no akye a eye safe anaa ɛnyɛ saa,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Cholera bacteria betumi atena abutuo mu anaa?,cholera bacteria betumi atena abutuo mu anaa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Ayamtuo ne afeɛ pii mu yɛ den paa, kɔ clinic ntɛm ɛnte saa?",ayamtuo ne afeɛ pii mu yɛ den paa kɔ clinic ntɛm ɛnte saa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Woebtumi anya cholera firi obi a ɔwɔ cholera ho a wode ne nsa aka no?,woebtumi anya cholera firi obi a ɔwɔ cholera ho a wode ne nsa aka no,myth_correction_query,"Dabi, wontumi nnya cholera denam ho ka kwan so nkutoo. Ɛsɛ sɛ wonom nsuo anaa wudi aduane a efi wɔ mu ansa na woanya yareɛ no.","No, you cannot get cholera simply by touching an infected person. You must ingest contaminated water or food to become infected.",CDC
IV fulids hia bere ben wo cholera mu?,iv fulids hia bere ben wo cholera mu,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
Mewo he na metumi anya ORS aduru no paa?,mewo he na metumi anya ors aduru no paa,treatment_query,"Wobetumi anya ORS wɔ aduruyɛdan (pharmacy) biara, or woankasa betumi ayɛ bi wɔ fie de nsuo, asikre, ne nkyene.","Where can I get the ORS medicine? You can get ORS at any pharmacy, or you can make it yourself at home using water, sugar, and salt.",Ghana Health Service
"Se me ho ye mmere na meretumi nnidi, eye cholera?",se me ho ye mmere na meretumi nnidi eye cholera,symptoms_query,"Mmerɛyɛ betumi ayɛ cholera nsenkyerɛne afiri nsuo a ɛsa nti. Sɛ ayamtuo ne ɛfeɛ fra mu a, ɛyɛ asiane paa. Kɔ ayaresabea.","If I feel weak and cannot eat, is it cholera? Weakness can be a cholera symptom due to fluid loss. If diarrhea and vomiting are combined, it is very dangerous. Go to the hospital.",WHO Ghana
"Aduane a yɛankata so, cholera mmoawa betumi awura mu?",aduane a yɛankata so cholera mmoawa betumi awura mu,transmission_query,"Aane paa, mfifiseɛ betumi de fĩ afiri abɔnten abɛgu aduane a yɛankata so no so na ama yɛanya cholera yareɛ no.","Food that is not covered, can cholera bacteria enter it? Yes indeed, flies can bring waste from outside and deposit it onto uncovered food, causing us to get the cholera disease.",CDC Ghana
Kwan ben so na cholera bacteria fa ko obi ho anaa?,kwan ben so na cholera bacteria fa ko obi ho anaa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Yɛbɛtumi anya cholrea afiri subɔnten mu nsuo mu?,yɛbɛtumi anya cholrea afiri subɔnten mu nsuo mu,transmission_query,"Aane paa, sɛ nkurɔfoɔ gu fi gu asubɔnten no ho a, cholera mmoawa bɛkɔ nsuo no mu na ɛde yareɛ bɛba sɛ nnipa nom a.","Can we get cholera from river water? Yes indeed, if people defecate near the river, cholera bacteria will enter the water and cause disease if people drink it.",Ghana Ministry of Health
Adɔkota de antibiotic de sa cholera?,adɔkota de antibiotic de sa cholera,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
